"Age","Country","Edu","Title","CompSize","DSPeople","CompML","Compensation","YOE","RecPL","YOE_ML","DSCourse","PLNo","VisualNo","HardwareNo","CloudPlatformNo","DatabaseNo"
"25-29","Other","Bachelor’s degree","Software Engineer","0-49 employees","1-2","I do not know","$0-999","1-2 years","Python","< 1 years",3,2,2,2,0,0
"18-21","Indonesia","Bachelor’s degree","Data Scientist","1000-9,999 employees","20+","We recently started using ML methods (i.e., models in production for less than 2 years)","5,000-7,499","1-2 years","Python","1-2 years",4,2,2,2,0,0
"25-29","Brazil","Master’s degree","Data Engineer","0-49 employees","5-9","We are exploring ML methods (and may one day put a model into production)","$0-999","1-2 years","Python","1-2 years",2,3,2,1,1,3
"22-24","United Kingdom of Great Britain and Northern Ireland","Bachelor’s degree","Other","0-49 employees","1-2","We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999","< 1 years","Python","< 1 years",2,2,3,1,3,1
"25-29","Germany","Doctoral degree","Research Scientist","> 10,000 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999","5-10 years","Python","4-5 years",2,4,2,2,1,1
"40-44","France","Master’s degree","Data Scientist","1000-9,999 employees","3-4","We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999","3-5 years","Python","4-5 years",3,1,1,1,1,1
"40-44","France","Doctoral degree","Statistician","> 10,000 employees","3-4","No (we do not use ML methods)","2,000-2,999","10-20 years","R","10-15 years",1,2,0,1,0,1
"22-24","Peru","Bachelor’s degree","Other","> 10,000 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","3,000-3,999","1-2 years","Python","1-2 years",3,3,3,1,1,1
"25-29","Algeria","Doctoral degree","Software Engineer","1000-9,999 employees","20+","No (we do not use ML methods)","7,500-9,999","1-2 years","Python","1-2 years",6,4,0,1,0,0
"30-34","Israel","Master’s degree","Data Scientist","1000-9,999 employees","5-9","We recently started using ML methods (i.e., models in production for less than 2 years)","70,000-79,999","3-5 years","Python","2-3 years",1,2,1,1,0,0
"30-34","Israel","Master’s degree","Data Scientist","1000-9,999 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999","3-5 years","Python","3-4 years",4,3,2,2,1,2
"50-54","Other","Some college/university study without earning a bachelor’s degree","Data Scientist","0-49 employees","3-4","We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999","5-10 years","R","3-4 years",1,1,2,1,2,3
"25-29","Sweden","Master’s degree","Data Scientist","> 10,000 employees","10-14","We recently started using ML methods (i.e., models in production for less than 2 years)","4,000-4,999","3-5 years","Python","1-2 years",0,3,4,1,1,3
"30-34","Colombia","Professional degree","Software Engineer","0-49 employees","1-2","We use ML methods for generating insights (but do not put working models into production)","$0-999","1-2 years","C++","< 1 years",1,2,1,1,0,3
"22-24","Pakistan","Master’s degree","Data Scientist","0-49 employees","3-4","No (we do not use ML methods)","$0-999","< 1 years","Python","1-2 years",1,2,1,1,0,0
"30-34","Russia","Doctoral degree","Research Scientist","1000-9,999 employees","1-2","I do not know","20,000-24,999","5-10 years","Other","5-10 years",0,2,2,2,0,0
"22-24","Nigeria","Bachelor’s degree","Other","0-49 employees","1-2","No (we do not use ML methods)","$0-999","< 1 years","Python","1-2 years",5,2,5,2,1,4
"30-34","Ukraine","Doctoral degree","Data Scientist","1000-9,999 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","10,000-14,999","1-2 years","Python","1-2 years",6,1,2,1,1,0
"30-34","United Kingdom of Great Britain and Northern Ireland","Master’s degree","Data Scientist","50-249 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","70,000-79,999","3-5 years","Python","3-4 years",5,1,2,2,1,1
"30-34","Other","Bachelor’s degree","Business Analyst","1000-9,999 employees","3-4","No (we do not use ML methods)","20,000-24,999","3-5 years","Python","2-3 years",1,3,0,1,1,1
"50-54","United States of America","Some college/university study without earning a bachelor’s degree","Data Scientist","250-999 employees","3-4","We are exploring ML methods (and may one day put a model into production)","125,000-149,999","1-2 years","Python","1-2 years",3,3,3,2,1,3
"40-44","Indonesia","Bachelor’s degree","Other","250-999 employees","0","I do not know","70,000-79,999","1-2 years","Python","1-2 years",3,1,2,2,1,0
"25-29","Nigeria","Master’s degree","Software Engineer","50-249 employees","5-9","We recently started using ML methods (i.e., models in production for less than 2 years)","7,500-9,999","< 1 years","Python","< 1 years",4,3,3,2,1,2
"35-39","Israel","Doctoral degree","Product/Project Manager","0-49 employees","1-2","We are exploring ML methods (and may one day put a model into production)","100,000-124,999","5-10 years","Python","4-5 years",1,3,1,2,0,0
"30-34","Russia","Master’s degree","Research Scientist","250-999 employees","1-2","We recently started using ML methods (i.e., models in production for less than 2 years)","7,500-9,999","< 1 years","Python","< 1 years",2,2,2,2,0,0
"25-29","United States of America","Bachelor’s degree","Data Scientist","0-49 employees","1-2","We are exploring ML methods (and may one day put a model into production)","150,000-199,999","5-10 years","SQL","3-4 years",4,3,2,1,3,4
"55-59","United States of America","Doctoral degree","Data Scientist","1000-9,999 employees","10-14","We have well established ML methods (i.e., models in production for more than 2 years)","250,000-299,999","20+ years","Python","20+ years",3,2,1,3,1,0
"35-39","Brazil","Master’s degree","Other","250-999 employees","3-4","We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999","10-20 years","Python","4-5 years",2,4,2,2,1,2
"25-29","Germany","Master’s degree","Business Analyst","> 10,000 employees","20+","We recently started using ML methods (i.e., models in production for less than 2 years)","60,000-69,999","< 1 years","Python","< 1 years",3,1,2,1,0,0
"30-34","Canada","Master’s degree","Data Analyst","1000-9,999 employees","1-2","We use ML methods for generating insights (but do not put working models into production)","50,000-59,999","5-10 years","SQL","3-4 years",2,2,4,1,0,0
"25-29","Taiwan","Master’s degree","Software Engineer","50-249 employees","0","We are exploring ML methods (and may one day put a model into production)","20,000-24,999","3-5 years","Python","1-2 years",1,2,1,2,0,0
"40-44","South Korea","Doctoral degree","Data Scientist","0-49 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","10,000-14,999","3-5 years","Python","1-2 years",0,2,2,1,1,3
"30-34","India","Doctoral degree","Statistician","0-49 employees","1-2","No (we do not use ML methods)","$0-999","< 1 years","Python","< 1 years",1,2,0,1,0,0
"22-24","Japan","Bachelor’s degree","Data Scientist","1000-9,999 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","5,000-7,499","3-5 years","Python","3-4 years",3,1,2,2,2,0
"50-54","United States of America","Master’s degree","Data Engineer","0-49 employees","1-2","We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999","10-20 years","Python","3-4 years",3,4,6,2,2,4
"60-69","India","Master’s degree","Software Engineer","0-49 employees","1-2","We are exploring ML methods (and may one day put a model into production)","100,000-124,999","3-5 years","Python","3-4 years",4,5,2,1,2,3
"30-34","India","Master’s degree","Business Analyst","1000-9,999 employees","0","We are exploring ML methods (and may one day put a model into production)","15,000-19,999","3-5 years","R","3-4 years",6,1,1,1,1,1
"50-54","United States of America","Master’s degree","Research Scientist","1000-9,999 employees","5-9","We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999","3-5 years","Python","2-3 years",1,4,3,2,2,2
"35-39","Japan","Some college/university study without earning a bachelor’s degree","Other","250-999 employees","0","No (we do not use ML methods)","2,000-2,999","< 1 years","R","< 1 years",4,3,4,1,0,1
"55-59","Australia","Master’s degree","Other","0-49 employees","1-2","No (we do not use ML methods)","80,000-89,999","5-10 years","Python","1-2 years",2,2,0,1,2,1
"30-34","China","Doctoral degree","Research Scientist","0-49 employees","20+","We recently started using ML methods (i.e., models in production for less than 2 years)","1,000-1,999","< 1 years","Python","< 1 years",0,1,1,1,0,1
"45-49","Canada","Some college/university study without earning a bachelor’s degree","Software Engineer","> 10,000 employees","5-9","I do not know","80,000-89,999","3-5 years","Python","< 1 years",2,1,3,1,2,3
"60-69","Russia","Professional degree","Research Scientist","0-49 employees","0","We are exploring ML methods (and may one day put a model into production)","$0-999","10-20 years","Python","5-10 years",1,1,0,1,1,1
"55-59","United Kingdom of Great Britain and Northern Ireland","Master’s degree","Product/Project Manager","250-999 employees","5-9","We are exploring ML methods (and may one day put a model into production)","25,000-29,999","5-10 years","Python","2-3 years",2,2,2,1,0,0
"25-29","India","Master’s degree","Data Scientist","250-999 employees","10-14","We are exploring ML methods (and may one day put a model into production)","$0-999","< 1 years","Python","1-2 years",1,2,2,2,1,1
"30-34","New Zealand","Bachelor’s degree","Data Analyst","250-999 employees","5-9","I do not know","50,000-59,999","1-2 years","R","< 1 years",2,2,1,1,0,0
"25-29","Czech Republic","Master’s degree","Data Scientist","250-999 employees","3-4","We use ML methods for generating insights (but do not put working models into production)","20,000-24,999","3-5 years","Python","3-4 years",2,2,2,1,1,1
"30-34","India","Bachelor’s degree","Product/Project Manager","> 10,000 employees","10-14","We recently started using ML methods (i.e., models in production for less than 2 years)","25,000-29,999","10-20 years","R","5-10 years",3,4,6,1,0,4
"30-34","Russia","Master’s degree","Product/Project Manager","50-249 employees","5-9","We are exploring ML methods (and may one day put a model into production)","3,000-3,999","5-10 years","Python","4-5 years",0,1,3,2,0,3
"25-29","Iran, Islamic Republic of...","Master’s degree","Research Scientist","0-49 employees","0","No (we do not use ML methods)","3,000-3,999","3-5 years","Python","1-2 years",1,1,1,1,0,0
"30-34","Kenya","Bachelor’s degree","Product/Project Manager","0-49 employees","1-2","We use ML methods for generating insights (but do not put working models into production)","$0-999","3-5 years","R","4-5 years",6,2,3,1,2,6
"30-34","Czech Republic","Doctoral degree","Research Scientist","0-49 employees","3-4","We recently started using ML methods (i.e., models in production for less than 2 years)","$0-999","5-10 years","Other","5-10 years",1,0,0,2,0,0
"25-29","Spain","Master’s degree","Data Scientist","> 10,000 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999","3-5 years","Python","2-3 years",5,3,1,1,1,3
"25-29","Other","No formal education past high school","Data Analyst","250-999 employees","1-2","We use ML methods for generating insights (but do not put working models into production)","7,500-9,999","< 1 years","Python","< 1 years",3,1,1,1,0,0
"25-29","Germany","Doctoral degree","Data Scientist","50-249 employees","3-4","We are exploring ML methods (and may one day put a model into production)","70,000-79,999","10-20 years","Python","3-4 years",0,5,3,1,0,0
"50-54","India","Doctoral degree","Research Scientist","250-999 employees","20+","No (we do not use ML methods)","10,000-14,999","5-10 years","SQL","5-10 years",2,1,3,1,1,1
"22-24","India","Bachelor’s degree","Data Engineer","0-49 employees","3-4","We recently started using ML methods (i.e., models in production for less than 2 years)","3,000-3,999","3-5 years","Python","1-2 years",3,3,1,2,0,2
"22-24","Philippines","Bachelor’s degree","Business Analyst","0-49 employees","0","No (we do not use ML methods)","10,000-14,999","< 1 years","Python","< 1 years",4,2,0,1,0,0
"35-39","Other","Master’s degree","DBA/Database Engineer","50-249 employees","1-2","No (we do not use ML methods)","$0-999","3-5 years","Python","2-3 years",3,3,4,2,0,0
"30-34","Russia","Master’s degree","Research Scientist","> 10,000 employees","1-2","No (we do not use ML methods)","20,000-24,999","10-20 years","Python","5-10 years",0,5,1,1,0,0
"30-34","Russia","Master’s degree","Data Scientist","> 10,000 employees","5-9","We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999","5-10 years","C","4-5 years",3,3,4,1,0,0
"35-39","Hong Kong (S.A.R.)","Master’s degree","Other","50-249 employees","3-4","I do not know","90,000-99,999","5-10 years","Python","< 1 years",2,2,0,1,0,2
"35-39","Singapore","Master’s degree","Data Scientist","1000-9,999 employees","15-19","We are exploring ML methods (and may one day put a model into production)","125,000-149,999","3-5 years","Python","2-3 years",3,1,2,2,2,3
"22-24","India","Bachelor’s degree","Data Analyst","> 10,000 employees","5-9","We use ML methods for generating insights (but do not put working models into production)","$0-999","< 1 years","Python","< 1 years",5,2,5,1,0,0
"45-49","Japan","Master’s degree","Data Analyst","1000-9,999 employees","5-9","We use ML methods for generating insights (but do not put working models into production)","70,000-79,999","3-5 years","Python","1-2 years",1,2,2,1,1,0
"45-49","Algeria","Doctoral degree","Other","> 10,000 employees","20+","No (we do not use ML methods)","10,000-14,999","< 1 years","Python","< 1 years",2,2,2,1,0,0
"30-34","United States of America","Doctoral degree","Data Scientist","250-999 employees","20+","We recently started using ML methods (i.e., models in production for less than 2 years)","125,000-149,999","5-10 years","Python","1-2 years",2,3,2,2,1,1
"25-29","India","Bachelor’s degree","Data Scientist","0-49 employees","1-2","We have well established ML methods (i.e., models in production for more than 2 years)","> $500,000","5-10 years","Python","5-10 years",9,10,7,3,0,0
"22-24","Other","Bachelor’s degree","Data Scientist","0-49 employees","3-4","We are exploring ML methods (and may one day put a model into production)","$0-999","3-5 years","Python","3-4 years",3,3,4,2,0,3
"45-49","Spain","Master’s degree","Business Analyst","0-49 employees","1-2","We recently started using ML methods (i.e., models in production for less than 2 years)","80,000-89,999","1-2 years","R","1-2 years",2,2,1,1,1,1
"40-44","Ukraine","Master’s degree","Software Engineer","0-49 employees","0","No (we do not use ML methods)","$0-999","1-2 years","Python","2-3 years",3,3,1,1,0,0
"35-39","Portugal","Master’s degree","Product/Project Manager","> 10,000 employees","1-2","We recently started using ML methods (i.e., models in production for less than 2 years)","20,000-24,999","3-5 years","R","< 1 years",2,2,3,2,1,0
"25-29","United States of America","Doctoral degree","Data Scientist","> 10,000 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999","5-10 years","Python","3-4 years",0,3,1,2,1,1
"40-44","Japan","Doctoral degree","Research Scientist","> 10,000 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","300,000-500,000","10-20 years","Python","10-15 years",3,2,3,2,0,2
"22-24","Taiwan","Bachelor’s degree","Data Analyst","0-49 employees","0","No (we do not use ML methods)","1,000-1,999","< 1 years","Python","< 1 years",2,2,2,1,0,0
"35-39","Colombia","Master’s degree","Business Analyst","1000-9,999 employees","0","I do not know","20,000-24,999","< 1 years","Python","< 1 years",3,1,2,1,0,0
"30-34","Germany","Bachelor’s degree","Software Engineer","1000-9,999 employees","10-14","We have well established ML methods (i.e., models in production for more than 2 years)","70,000-79,999","< 1 years","MATLAB","< 1 years",4,2,1,2,1,3
"25-29","Switzerland","Master’s degree","Data Scientist","0-49 employees","10-14","We recently started using ML methods (i.e., models in production for less than 2 years)","7,500-9,999","1-2 years","Python","1-2 years",3,1,1,1,0,0
"25-29","India","Professional degree","Software Engineer","> 10,000 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","20,000-24,999","3-5 years","Python","2-3 years",4,3,5,2,3,4
"25-29","India","Master’s degree","Business Analyst","> 10,000 employees","1-2","No (we do not use ML methods)","5,000-7,499","1-2 years","Python","1-2 years",3,2,2,2,1,1
"35-39","Spain","Master’s degree","Data Analyst","1000-9,999 employees","0","I do not know","30,000-39,999","3-5 years","Python","2-3 years",1,1,3,1,0,0
"25-29","Other","Master’s degree","Data Scientist","0-49 employees","5-9","We recently started using ML methods (i.e., models in production for less than 2 years)","20,000-24,999","3-5 years","R","2-3 years",1,1,3,2,0,0
"40-44","United States of America","Bachelor’s degree","Data Scientist","1000-9,999 employees","5-9","We recently started using ML methods (i.e., models in production for less than 2 years)","$0-999","10-20 years","Python","10-15 years",2,1,1,2,0,0
"22-24","Bangladesh","Bachelor’s degree","Data Scientist","0-49 employees","0","I do not know","$0-999","1-2 years","Python","20+ years",4,3,4,1,0,0
"35-39","United States of America","Master’s degree","Data Analyst","0-49 employees","0","No (we do not use ML methods)","150,000-199,999","< 1 years","Python","< 1 years",2,2,1,1,0,0
"25-29","Singapore","Bachelor’s degree","Data Analyst","1000-9,999 employees","3-4","We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999","1-2 years","Python","< 1 years",3,1,0,1,0,0
"22-24","India","Bachelor’s degree","Data Analyst","> 10,000 employees","20+","We are exploring ML methods (and may one day put a model into production)","7,500-9,999","3-5 years","Python","1-2 years",4,2,2,2,0,0
"30-34","United States of America","Bachelor’s degree","Product/Project Manager","0-49 employees","3-4","We use ML methods for generating insights (but do not put working models into production)","10,000-14,999","5-10 years","SQL","< 1 years",4,2,0,1,0,0
"30-34","United States of America","Master’s degree","Other","> 10,000 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","200,000-249,999","5-10 years","Python","5-10 years",6,3,3,2,1,4
"35-39","India","Master’s degree","Other","1000-9,999 employees","20+","We recently started using ML methods (i.e., models in production for less than 2 years)","1,000-1,999","< 1 years","Python","< 1 years",2,1,2,2,0,0
"30-34","Germany","Doctoral degree","Data Scientist","50-249 employees","5-9","We use ML methods for generating insights (but do not put working models into production)","60,000-69,999","5-10 years","Python","5-10 years",3,2,3,1,0,0
"22-24","India","Master’s degree","Data Scientist","> 10,000 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","20,000-24,999","1-2 years","Python","1-2 years",3,2,2,1,1,2
"30-34","Netherlands","Master’s degree","Data Scientist","1000-9,999 employees","20+","We recently started using ML methods (i.e., models in production for less than 2 years)","90,000-99,999","5-10 years","Python","1-2 years",3,4,4,2,2,3
"35-39","United Kingdom of Great Britain and Northern Ireland","Master’s degree","Data Scientist","50-249 employees","10-14","We use ML methods for generating insights (but do not put working models into production)","40,000-49,999","1-2 years","Python","1-2 years",5,3,2,1,0,0
"22-24","Mexico","Bachelor’s degree","Business Analyst","> 10,000 employees","20+","We are exploring ML methods (and may one day put a model into production)","7,500-9,999","< 1 years","Python","< 1 years",1,2,3,1,0,0
"30-34","Kenya","Master’s degree","Data Analyst","0-49 employees","10-14","We recently started using ML methods (i.e., models in production for less than 2 years)","5,000-7,499","1-2 years","Python","1-2 years",3,2,5,1,1,1
"35-39","Norway","Master’s degree","Data Scientist","50-249 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","70,000-79,999","5-10 years","Python","5-10 years",3,2,2,2,1,1
"35-39","Nigeria","Master’s degree","Data Scientist","0-49 employees","1-2","We use ML methods for generating insights (but do not put working models into production)","3,000-3,999","1-2 years","Python","1-2 years",2,1,2,2,1,1
"25-29","Colombia","Master’s degree","Data Scientist","50-249 employees","3-4","We recently started using ML methods (i.e., models in production for less than 2 years)","20,000-24,999","3-5 years","Python","3-4 years",4,1,2,1,1,0
"30-34","United Kingdom of Great Britain and Northern Ireland","Doctoral degree","Research Scientist","> 10,000 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999","10-20 years","Other","10-15 years",3,2,2,2,0,0
"35-39","South Korea","Master’s degree","Software Engineer","50-249 employees","3-4","No (we do not use ML methods)","30,000-39,999","1-2 years","Python","2-3 years",1,2,3,1,1,4
"50-54","United States of America","Master’s degree","Product/Project Manager","250-999 employees","5-9","We recently started using ML methods (i.e., models in production for less than 2 years)","60,000-69,999","3-5 years","Python","1-2 years",4,2,2,1,2,1
"30-34","Singapore","Master’s degree","Data Scientist","1000-9,999 employees","1-2","We use ML methods for generating insights (but do not put working models into production)","90,000-99,999","5-10 years","Python","4-5 years",3,3,4,2,1,2
"35-39","United States of America","Doctoral degree","Data Scientist","0-49 employees","1-2","We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999","10-20 years","R","5-10 years",0,5,3,1,2,4
"35-39","United States of America","Master’s degree","Software Engineer","50-249 employees","0","No (we do not use ML methods)","125,000-149,999","3-5 years","Javascript","2-3 years",0,6,0,2,3,3
"22-24","United States of America","Bachelor’s degree","Other","50-249 employees","10-14","We recently started using ML methods (i.e., models in production for less than 2 years)","90,000-99,999","5-10 years","Python","1-2 years",4,1,5,2,0,1
"35-39","United States of America","Bachelor’s degree","Business Analyst","0-49 employees","1-2","No (we do not use ML methods)","50,000-59,999","3-5 years","Python","2-3 years",3,1,1,1,0,0
"25-29","United States of America","Master’s degree","Research Scientist","0-49 employees","3-4","We recently started using ML methods (i.e., models in production for less than 2 years)","20,000-24,999","3-5 years","Python","3-4 years",2,2,1,2,0,0
"25-29","Taiwan","Master’s degree","Data Analyst","0-49 employees","1-2","We recently started using ML methods (i.e., models in production for less than 2 years)","25,000-29,999","3-5 years","Python","2-3 years",3,1,2,2,4,0
"45-49","United States of America","Master’s degree","Data Analyst","> 10,000 employees","20+","We recently started using ML methods (i.e., models in production for less than 2 years)","125,000-149,999","1-2 years","R","1-2 years",1,2,5,2,0,0
"40-44","South Korea","Doctoral degree","Research Scientist","250-999 employees","20+","We are exploring ML methods (and may one day put a model into production)","2,000-2,999","5-10 years","R","5-10 years",0,3,1,1,1,3
"25-29","Australia","Bachelor’s degree","Software Engineer","0-49 employees","5-9","We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999","3-5 years","Python","1-2 years",2,2,1,2,0,0
"55-59","Taiwan","Bachelor’s degree","Product/Project Manager","50-249 employees","5-9","We are exploring ML methods (and may one day put a model into production)","70,000-79,999","20+ years","Python","2-3 years",2,7,2,2,0,4
"50-54","India","Professional degree","Other","250-999 employees","5-9","We are exploring ML methods (and may one day put a model into production)","40,000-49,999","1-2 years","C++","1-2 years",2,2,4,1,0,0
"30-34","Other","Professional degree","Data Analyst","250-999 employees","1-2","No (we do not use ML methods)","1,000-1,999","< 1 years","Javascript","1-2 years",2,2,1,1,1,1
"30-34","Germany","Master’s degree","Data Engineer","1000-9,999 employees","5-9","We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999","5-10 years","MATLAB","3-4 years",1,4,0,2,0,0
"30-34","Other","Master’s degree","Data Analyst","1000-9,999 employees","0","We use ML methods for generating insights (but do not put working models into production)","$0-999","3-5 years","R","3-4 years",5,5,4,1,0,2
"22-24","India","Bachelor’s degree","Data Engineer","1000-9,999 employees","1-2","We use ML methods for generating insights (but do not put working models into production)","7,500-9,999","1-2 years","Python","1-2 years",1,3,3,1,0,0
"25-29","Other","Master’s degree","Software Engineer","0-49 employees","1-2","No (we do not use ML methods)","10,000-14,999","1-2 years","Python","1-2 years",1,1,1,1,0,0
"25-29","Italy","Master’s degree","Data Scientist","> 10,000 employees","10-14","We recently started using ML methods (i.e., models in production for less than 2 years)","20,000-24,999","5-10 years","Python","3-4 years",5,3,6,2,1,3
"25-29","United States of America","Master’s degree","Data Scientist","1000-9,999 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999","5-10 years","SQL","1-2 years",1,3,2,1,1,2
"45-49","Italy","Professional degree","Data Scientist","250-999 employees","5-9","We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999","10-20 years","Python","10-15 years",3,3,3,2,2,5
"25-29","Russia","Master’s degree","Software Engineer","250-999 employees","20+","We recently started using ML methods (i.e., models in production for less than 2 years)","1,000-1,999","3-5 years","Python","4-5 years",2,4,2,1,0,0
"40-44","India","Professional degree","Data Engineer","> 10,000 employees","10-14","We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999","5-10 years","Python","3-4 years",4,3,5,2,2,3
"30-34","China","Master’s degree","Business Analyst","> 10,000 employees","20+","We use ML methods for generating insights (but do not put working models into production)","20,000-24,999","1-2 years","Python","1-2 years",0,2,1,1,0,0
"25-29","India","Bachelor’s degree","Data Scientist","50-249 employees","5-9","We are exploring ML methods (and may one day put a model into production)","40,000-49,999","5-10 years","Python","4-5 years",3,4,5,1,2,0
"35-39","United Kingdom of Great Britain and Northern Ireland","Doctoral degree","Statistician","1000-9,999 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","80,000-89,999","10-20 years","C++","10-15 years",5,2,4,2,1,0
"22-24","India","Bachelor’s degree","Software Engineer","> 10,000 employees","1-2","I do not know","4,000-4,999","< 1 years","Python","< 1 years",4,3,0,2,0,0
"45-49","Netherlands","Master’s degree","Data Scientist","0-49 employees","3-4","We are exploring ML methods (and may one day put a model into production)","50,000-59,999","10-20 years","Python","10-15 years",1,3,2,1,0,0
"25-29","Netherlands","Master’s degree","Data Scientist","0-49 employees","3-4","We recently started using ML methods (i.e., models in production for less than 2 years)","60,000-69,999","5-10 years","Python","5-10 years",2,1,1,1,1,1
"25-29","Italy","Master’s degree","Data Scientist","> 10,000 employees","3-4","We use ML methods for generating insights (but do not put working models into production)","30,000-39,999","3-5 years","Python","2-3 years",3,3,4,1,0,0
"35-39","Other","Doctoral degree","Data Engineer","50-249 employees","3-4","We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999","5-10 years","SQL","4-5 years",3,4,1,1,0,2
"25-29","Germany","Doctoral degree","Research Scientist","1000-9,999 employees","20+","We use ML methods for generating insights (but do not put working models into production)","30,000-39,999","3-5 years","Python","3-4 years",6,3,2,2,0,0
"40-44","Japan","Master’s degree","Data Scientist","> 10,000 employees","5-9","We have well established ML methods (i.e., models in production for more than 2 years)","70,000-79,999","10-20 years","Python","5-10 years",1,1,1,2,1,0
"25-29","India","Bachelor’s degree","Software Engineer","250-999 employees","3-4","We recently started using ML methods (i.e., models in production for less than 2 years)","$0-999","3-5 years","Python","1-2 years",4,1,2,2,2,2
"25-29","Other","Doctoral degree","Data Analyst","0-49 employees","5-9","We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999","1-2 years","Python","1-2 years",4,3,2,2,0,1
"22-24","India","Master’s degree","Statistician","> 10,000 employees","5-9","We have well established ML methods (i.e., models in production for more than 2 years)","300,000-500,000","< 1 years","R","1-2 years",0,1,1,1,0,1
"30-34","Ireland","Master’s degree","Data Scientist","0-49 employees","3-4","We use ML methods for generating insights (but do not put working models into production)","60,000-69,999","5-10 years","Python","3-4 years",2,3,4,1,1,1
"30-34","Belgium","Doctoral degree","Research Scientist","> 10,000 employees","1-2","We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999","1-2 years","Python","< 1 years",0,1,1,1,0,0
"60-69","Spain","Doctoral degree","Business Analyst","0-49 employees","1-2","No (we do not use ML methods)","150,000-199,999","1-2 years","Python","1-2 years",0,1,1,1,0,1
"25-29","India","Master’s degree","Business Analyst","50-249 employees","5-9","We have well established ML methods (i.e., models in production for more than 2 years)","7,500-9,999","< 1 years","Python","< 1 years",2,2,3,2,2,1
"25-29","Other","Master’s degree","Software Engineer","50-249 employees","3-4","We recently started using ML methods (i.e., models in production for less than 2 years)","50,000-59,999","< 1 years","Python","< 1 years",4,3,1,1,3,2
"25-29","Other","Doctoral degree","DBA/Database Engineer","1000-9,999 employees","0","I do not know","30,000-39,999","5-10 years","SQL","5-10 years",6,5,5,1,0,0
"22-24","Viet Nam","Bachelor’s degree","Data Engineer","0-49 employees","1-2","We recently started using ML methods (i.e., models in production for less than 2 years)","$0-999","< 1 years","Python","< 1 years",1,2,2,2,1,1
"25-29","Thailand","Master’s degree","Data Scientist","> 10,000 employees","1-2","We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999","5-10 years","Python","1-2 years",6,4,2,1,2,4
"25-29","India","Bachelor’s degree","Data Scientist","> 10,000 employees","20+","We use ML methods for generating insights (but do not put working models into production)","15,000-19,999","< 1 years","Python","< 1 years",3,2,3,1,1,1
"40-44","Russia","Bachelor’s degree","Research Scientist","250-999 employees","0","No (we do not use ML methods)","10,000-14,999","3-5 years","Python","< 1 years",4,1,1,1,0,0
"22-24","Kenya","Bachelor’s degree","Data Analyst","0-49 employees","1-2","We are exploring ML methods (and may one day put a model into production)","$0-999","1-2 years","Python","< 1 years",2,2,1,1,1,1
"25-29","Poland","Doctoral degree","Software Engineer","1000-9,999 employees","20+","I do not know","20,000-24,999","5-10 years","Python","3-4 years",4,5,2,1,0,0
"45-49","Other","Bachelor’s degree","Research Scientist","0-49 employees","1-2","We are exploring ML methods (and may one day put a model into production)","5,000-7,499","1-2 years","R","1-2 years",2,2,3,2,0,3
"25-29","Morocco","Master’s degree","Data Scientist","0-49 employees","1-2","We recently started using ML methods (i.e., models in production for less than 2 years)","1,000-1,999","3-5 years","Python","1-2 years",5,8,2,2,1,3
